member_id,R,F,M,r_grade,f_grade,m_grade
111717529@n,172,1,38800.0,3,1,1
111797576@n,46,1,9900.0,4,1,1
111807439@n,127,1,42800.0,3,1,1
11181804@n,68,1,32400.0,4,1,1
111911542@n,93,1,41900.0,3,1,1
11199275@n,186,1,40000.0,2,1,1
112018990@n,204,1,15200.0,2,1,1
11202080@n,328,1,29800.0,1,1,1
11203673@n,35,1,33900.0,4,1,1
112075833@n,128,1,40900.0,3,1,1
11212291@n,229,2,48300.0,2,2,1
112145980@n,223,1,38700.0,2,1,1
11233680@n,60,1,32400.0,4,1,1
112407895@n,201,1,14500.0,2,1,1
112415436@n,139,1,30800.0,3,1,1
112435810@n,61,1,32400.0,4,1,1
11247825@n,33,1,14900.0,4,1,1
112555290@n,0,2,75439.0,4,2,2
112603393@n,216,1,33400.0,2,1,1
11260595@n,123,1,103000.0,3,1,3
112633192@n,121,1,147000.0,3,1,3
11269919@n,224,1,15400.0,2,1,1
11277338@n,152,1,41000.0,3,1,1
112799188@n,343,1,13500.0,1,1,1
112804268@n,20,1,19100.0,4,1,1
11285800@n,190,1,40715.0,2,1,1
1128604@n,27,1,21300.0,4,1,1
113105278@n,114,1,23000.0,3,1,1
113207167@n,172,1,28900.0,3,1,1
11328165@n,52,1,58200.0,4,1,2
113384592@n,49,1,60800.0,4,1,2
113428890@n,69,1,35400.0,4,1,1
11347023@n,99,1,13900.0,3,1,1
113540362@n,150,1,16900.0,3,1,1
113641524@n,1,3,128000.0,4,3,3
113725992@n,59,1,32400.0,4,1,1
11373862@n,52,1,37800.0,4,1,1
113745432@n,184,1,78800.0,2,1,2
113792127@n,232,1,32800.0,2,1,1
113812339@n,44,1,48700.0,4,1,1
11400382@n,76,1,30300.0,4,1,1
114054137@n,75,1,33400.0,4,1,1
114177924@n,95,4,122670.0,3,3,3
11419434@n,82,2,67700.0,4,2,2
114213160@n,126,1,68800.0,3,1,2
11422393@n,50,1,38900.0,4,1,1
114227439@n,202,1,38800.0,2,1,1
114280276@n,56,1,17900.0,4,1,1
11439082@n,139,1,16900.0,3,1,1
114421553@n,59,1,32400.0,4,1,1
114422750@n,100,1,28500.0,3,1,1
11450547@n,339,1,40700.0,1,1,1
114614855@n,290,1,15400.0,1,1,1
114628746@n,71,1,32400.0,4,1,1
114681825@n,195,1,16900.0,2,1,1
11472360@n,103,1,149000.0,3,1,3
114826922@n,72,1,35400.0,4,1,1
11490034@n,245,1,38700.0,2,1,1
114915627@n,105,1,23000.0,3,1,1
11494831@n,11,1,40900.0,4,1,1
114986258@n,5,1,38900.0,4,1,1
115096374@n,230,1,18800.0,2,1,1
115109105@n,49,1,67300.0,4,1,2
115131834@n,1,1,36000.0,4,1,1
115258094@n,76,3,117400.0,4,3,3
11533530@n,196,1,40622.0,2,1,1
115357830@n,78,3,110709.0,4,3,3
115405625@n,59,1,49400.0,4,1,1
115441330@n,138,1,16900.0,3,1,1
11548134@n,120,1,31900.0,3,1,1
11550150@n,115,2,90300.0,3,2,2
115539670@n,34,1,13900.0,4,1,1
115554040@n,97,1,55700.0,3,1,2
115577465@n,115,1,35300.0,3,1,1
115644916@n,145,1,79800.0,3,1,2
11576582@n,103,1,38800.0,3,1,1
115880298@n,69,1,15500.0,4,1,1
11594112@n,35,1,38800.0,4,1,1
115983687@n,76,1,32400.0,4,1,1
115996385@n,27,1,62600.0,4,1,2
116031755@n,265,1,38268.0,2,1,1
116084616@n,272,1,38800.0,2,1,1
116089195@n,76,1,32400.0,4,1,1
11613249@n,78,2,71699.0,4,2,2
116166911@n,36,1,9900.0,4,1,1
116188490@n,111,1,11700.0,3,1,1
116211850@n,71,1,23300.0,4,1,1
11621575@n,218,1,38700.0,2,1,1
11630212@n,8,1,11900.0,4,1,1
11630224@n,4,1,36900.0,4,1,1
116302470@n,98,1,38900.0,3,1,1
11631865@n,162,1,39500.0,3,1,1
11634872@n,73,1,33400.0,4,1,1
116387459@n,304,1,36900.0,1,1,1
116393756@n,324,1,113500.0,1,1,3
11645847@n,70,1,31520.0,4,1,1
116503578@n,288,1,38700.0,1,1,1
116520103@n,75,2,67171.0,4,2,2
11653388@n,303,1,37363.0,1,1,1
116560396@n,7,1,37900.0,4,1,1
116584243@n,244,1,47900.0,2,1,1
11666974@n,169,1,60600.0,3,1,2
116774399@n,20,1,39900.0,4,1,1
116794113@n,229,3,46544.0,2,3,1
11680220@n,78,2,80253.0,4,2,2
11683024@n,360,1,15900.0,1,1,1
116928624@n,206,1,113002.0,2,1,3
11697571@n,206,1,35000.0,2,1,1
117003480@n,335,1,40000.0,1,1,1
11702166@n,34,1,54200.0,4,1,2
117060571@n,79,5,157144.0,4,4,3
117065969@n,55,1,143500.0,4,1,3
11712616@n,82,1,31300.0,4,1,1
117139043@n,169,1,13900.0,3,1,1
117160900@n,196,2,46300.0,2,2,1
117191273@n,2,1,28300.0,4,1,1
11720403@n,114,1,49800.0,3,1,1
117315275@n,234,2,62654.0,2,2,2
117320027@n,127,2,33300.0,3,2,1
11732536@n,203,1,53400.0,2,1,2
11733115@n,141,2,31800.0,3,2,1
11744644@n,216,1,34200.0,2,1,1
11749639@n,115,2,181150.0,3,2,3
11751797@n,20,1,10900.0,4,1,1
11754536@n,27,1,45800.0,4,1,1
11763063@n,85,1,40900.0,4,1,1
11771663@n,219,1,38700.0,2,1,1
117735562@n,2,1,24900.0,4,1,1
11776555@n,216,1,73800.0,2,1,2
117821075@n,117,1,61800.0,3,1,2
117826420@n,272,1,36900.0,2,1,1
11789314@n,184,1,40000.0,2,1,1
117913317@n,16,1,22100.0,4,1,1
117989277@n,34,1,24900.0,4,1,1
118002574@n,75,4,145064.0,4,3,3
11817448@n,240,1,38700.0,2,1,1
118251827@n,81,1,41900.0,4,1,1
11839894@n,103,1,49800.0,3,1,1
11843313@n,352,1,70800.0,1,1,2
11848146@n,101,1,57200.0,3,1,2
11850925@n,162,1,14900.0,3,1,1
118509722@n,70,2,45100.0,4,2,1
118647800@n,3,1,41000.0,4,1,1
118767825@n,133,1,15900.0,3,1,1
118783241@n,116,1,23000.0,3,1,1
118836294@n,351,1,40700.0,1,1,1
11884441@n,259,1,20800.0,2,1,1
118888756@n,69,1,32400.0,4,1,1
11898479@n,76,1,31300.0,4,1,1
119027211@n,124,1,41700.0,3,1,1
119106205@n,132,1,41900.0,3,1,1
11912022@n,352,1,38700.0,1,1,1
119156941@n,218,1,15400.0,2,1,1
119216770@n,272,1,38700.0,2,1,1
11925565@n,76,1,32400.0,4,1,1
119418008@n,62,1,30300.0,4,1,1
1194789@n,126,1,51600.0,3,1,1
1194834@n,205,1,33200.0,2,1,1
119500749@n,162,1,37000.0,3,1,1
11964246@n,161,1,37100.0,3,1,1
119802548@n,95,2,60000.0,3,2,2
119935284@n,111,2,74800.0,3,2,2
12007802@n,275,2,85873.0,1,2,2
1200948699@g,83,1,33900.0,4,1,1
120185622@n,78,1,16900.0,4,1,1
12021573@n,204,2,135695.0,2,2,3
12028179@n,210,1,35000.0,2,1,1
120285314@n,258,1,15900.0,2,1,1
12038353@n,281,1,38700.0,1,1,1
12038394@n,36,1,28900.0,4,1,1
12040830@n,309,1,114468.0,1,1,3
120419615@n,344,1,39268.0,1,1,1
12049956@n,200,1,30800.0,2,1,1
120687347@n,1,1,22100.0,4,1,1
120705752@n,339,1,27682.0,1,1,1
12070635@n,82,2,34800.0,4,2,1
120831045@n,189,2,87800.0,2,2,2
12084251@n,129,1,40900.0,3,1,1
120859246@n,192,1,40900.0,2,1,1
120864479@n,100,1,26400.0,3,1,1
120951946@n,92,1,40739.0,3,1,1
12101574@n,64,1,31400.0,4,1,1
121063644@n,87,1,16900.0,4,1,1
121188452@n,113,1,11700.0,3,1,1
121256514@n,24,1,9900.0,4,1,1
12127314@n,56,1,37800.0,4,1,1
121460623@n,187,1,30300.0,2,1,1
12148095@n,63,1,25700.0,4,1,1
121505209@n,148,1,29800.0,3,1,1
121534794@n,269,1,111090.0,2,1,3
12156188@n,204,1,34200.0,2,1,1
1215886@n,148,2,72900.0,3,2,2
121670063@n,204,1,17622.0,2,1,1
1217315987@g,211,1,141800.0,2,1,3
12203735@n,127,1,41900.0,3,1,1
122046802@n,111,1,48000.0,3,1,1
12213688@n,69,1,52433.0,4,1,1
12214143@n,21,1,36900.0,4,1,1
122265125@n,216,1,81400.0,2,1,2
122307515@n,39,1,74800.0,4,1,2
12237890@n,286,1,40700.0,1,1,1
12238947@n,190,1,31900.0,2,1,1
122557182@n,125,1,79100.0,3,1,2
122698077@n,58,1,32400.0,4,1,1
12271303@n,61,1,16500.0,4,1,1
12291208@n,153,1,16900.0,3,1,1
123045083@n,58,1,35805.0,4,1,1
12310194@n,112,1,10700.0,3,1,1
12313222@n,100,1,36977.0,3,1,1
12317695@n,113,1,35700.0,3,1,1
123213524@n,335,1,28800.0,1,1,1
12321620@n,75,1,30400.0,4,1,1
123284026@n,234,1,36900.0,2,1,1
123295961@n,83,1,39283.0,4,1,1
12339917@n,133,1,61800.0,3,1,2
123412881@n,278,1,38534.0,1,1,1
123476900@n,88,2,77344.0,4,2,2
12368804@n,268,1,38800.0,2,1,1
123981480@n,59,1,31400.0,4,1,1
124048580@n,258,1,35268.0,2,1,1
124074428@n,75,1,28200.0,4,1,1
124106074@n,336,1,23300.0,1,1,1
12412052@n,274,1,39288.0,2,1,1
12415665@n,204,1,34200.0,2,1,1
12416623@n,52,1,16775.0,4,1,1
124242913@n,107,1,59700.0,3,1,2
124267386@n,94,1,13900.0,3,1,1
124274687@n,47,1,38900.0,4,1,1
124290936@n,96,1,28500.0,3,1,1
124310074@n,161,1,40900.0,3,1,1
124539687@n,94,1,27900.0,3,1,1
124544599@n,245,1,32907.0,2,1,1
124653963@n,12,1,13900.0,4,1,1
124661357@g,213,1,33200.0,2,1,1
12481431@n,91,1,153000.0,3,1,3
124876022@n,44,1,25900.0,4,1,1
124945497@n,99,1,27300.0,3,1,1
12501797@n,314,1,64285.0,1,1,2
125048420@n,247,1,30900.0,2,1,1
12511279@n,18,1,36900.0,4,1,1
125144635@n,303,1,38700.0,1,1,1
125205887@n,278,1,38700.0,1,1,1
125216431@n,64,1,30300.0,4,1,1
125250133@n,84,1,16900.0,4,1,1
125259035@n,201,1,30100.0,2,1,1
125277615@n,190,1,67800.0,2,1,2
125329703@n,75,1,32400.0,4,1,1
12535148@n,294,1,14739.0,1,1,1
125411188@n,159,1,16300.0,3,1,1
125502927@n,67,2,43100.0,4,2,1
125531423@n,60,1,32400.0,4,1,1
12562081@n,48,1,16900.0,4,1,1
125630286@n,203,1,32113.0,2,1,1
12566014@n,204,1,114000.0,2,1,3
12566428@n,59,1,59370.0,4,1,2
12567529@n,63,1,49400.0,4,1,1
125799406@n,16,1,13900.0,4,1,1
12627679@n,153,1,40900.0,3,1,1
12628260@n,117,2,85600.0,3,2,2
126283213@n,273,1,20971.0,2,1,1
126288615@n,305,1,37000.0,1,1,1
126400585@n,84,1,37900.0,4,1,1
12643408@n,67,4,63200.0,4,3,2
126445622@n,75,1,33300.0,4,1,1
12648576@n,60,1,14700.0,4,1,1
12648618@n,338,1,32288.0,1,1,1
12661846@n,177,1,52700.0,3,1,1
126798430@n,83,1,16400.0,4,1,1
126865340@n,106,2,28800.0,3,2,1
12686888@n,322,1,45139.0,1,1,1
12689520@n,78,3,118360.0,4,3,3
1270020@n,330,1,70400.0,1,1,2
12700611@n,286,1,50505.0,1,1,1
12705259@n,140,1,86800.0,3,1,2
12713859@n,91,1,40900.0,3,1,1
127183624@n,133,1,15900.0,3,1,1
127230816@n,191,1,37334.0,2,1,1
12724702@n,198,1,40900.0,2,1,1
127258645@n,207,1,34200.0,2,1,1
127260993@n,47,2,104700.0,4,2,3
12728389@n,252,1,35500.0,2,1,1
127284223@n,145,1,48800.0,3,1,1
127307467@n,145,1,16900.0,3,1,1
127389177@n,329,1,34948.0,1,1,1
127468820@n,218,1,41800.0,2,1,1
12748594@n,179,1,206600.0,3,1,4
127492540@n,65,1,32400.0,4,1,1
12762673@n,69,2,101620.0,4,2,2
127732071@n,54,1,38800.0,4,1,1
127760245@n,39,3,87400.0,4,3,2
127853862@n,58,2,54100.0,4,2,2
12787544@n,65,1,15500.0,4,1,1
12801917@n,63,1,33400.0,4,1,1
12812256@n,66,1,32400.0,4,1,1
128178833@n,159,1,82900.0,3,1,2
128199981@n,58,1,15500.0,4,1,1
1282365@n,65,1,33500.0,4,1,1
128237047@n,84,1,40900.0,4,1,1
128360612@n,90,1,14900.0,3,1,1
128510015@n,134,1,98000.0,3,1,2
128577512@n,58,1,32400.0,4,1,1
128579950@n,26,1,72800.0,4,1,2
12862970@n,10,2,77746.0,4,2,2
12872331@n,302,1,41046.0,1,1,1
12872360@n,198,1,137500.0,2,1,3
129038146@n,244,1,35773.0,2,1,1
129153686@n,21,1,40500.0,4,1,1
1291596@n,107,1,10700.0,3,1,1
12924511@n,134,2,64669.0,3,2,2
12944663@n,25,2,86700.0,4,2,2
129503690@n,176,1,40900.0,3,1,1
1296182595@g,36,1,36900.0,4,1,1
12977653@n,67,1,32400.0,4,1,1
12978463@n,86,1,17900.0,4,1,1
12979359@n,8,1,44800.0,4,1,1
129930444@n,7,2,68800.0,4,2,2
129931348@n,35,1,25500.0,4,1,1
130228836@n,194,1,40900.0,2,1,1
13036152@n,6,1,35900.0,4,1,1
130403324@n,74,1,22600.0,4,1,1
130426517@n,197,1,14500.0,2,1,1
130492675@n,12,1,87100.0,4,1,2
130506962@n,64,1,16500.0,4,1,1
13062403@n,329,1,111586.0,1,1,3
1306241323@g,1,1,29900.0,4,1,1
13067452@n,142,1,38800.0,3,1,1
13070093@n,98,2,57800.0,3,2,2
13079960@n,120,1,15900.0,3,1,1
130801141@n,278,1,31800.0,1,1,1
13089176@n,60,1,80655.0,4,1,2
130981262@n,126,1,34700.0,3,1,1
131000296@n,134,1,37900.0,3,1,1
13104793@n,203,1,73400.0,2,1,2
131089228@n,170,1,28900.0,3,1,1
13112082@n,37,1,33800.0,4,1,1
13113315@n,258,1,38700.0,2,1,1
13115229@n,19,1,36900.0,4,1,1
13116551@n,205,1,115000.0,2,1,3
131174876@n,41,2,82800.0,4,2,2
131219623@n,46,2,58800.0,4,2,2
13139466@n,104,1,12900.0,3,1,1
13148804@n,157,2,64991.0,3,2,2
131517427@n,55,3,338420.0,4,3,4
131577697@n,231,1,45600.0,2,1,1
131615094@n,54,1,16900.0,4,1,1
131664504@n,63,2,70900.0,4,2,2
131666095@n,64,1,40700.0,4,1,1
13168722@n,286,1,36500.0,1,1,1
13177466@n,56,2,68268.0,4,2,2
131794781@n,111,1,36000.0,3,1,1
13180461@n,188,1,29300.0,2,1,1
131818207@n,17,1,148000.0,4,1,3
131819295@n,117,1,10700.0,3,1,1
13206909@n,70,1,58100.0,4,1,2
13206936@n,267,1,37625.0,2,1,1
1320859@n,148,1,40900.0,3,1,1
132110283@n,241,2,34700.0,2,2,1
132129579@n,133,1,38900.0,3,1,1
13215815@n,154,1,16900.0,3,1,1
132273001@n,22,1,9900.0,4,1,1
13228333@n,22,2,75400.0,4,2,2
13231940@n,84,1,30900.0,4,1,1
13249153@n,118,1,24800.0,3,1,1
132512490@n,93,1,12900.0,3,1,1
132571693@n,184,1,40900.0,2,1,1
132582498@n,123,1,92600.0,3,1,2
13258611@n,50,1,14900.0,4,1,1
132637475@n,72,1,32400.0,4,1,1
13264260@n,141,2,78439.0,3,2,2
132658364@n,116,2,75329.0,3,2,2
13268630@n,113,2,87700.0,3,2,2
132763414@n,124,1,31900.0,3,1,1
132779479@n,214,1,17100.0,2,1,1
13286210@n,77,1,48800.0,4,1,1
132899084@n,144,1,40000.0,3,1,1
13295881@n,346,1,30327.0,1,1,1
133031391@n,223,1,35500.0,2,1,1
133052998@n,36,3,214456.0,4,3,4
133157991@n,20,1,20100.0,4,1,1
133161880@n,217,1,43600.0,2,1,1
13316800@n,114,1,37900.0,3,1,1
13322127@n,82,2,82600.0,4,2,2
133254257@n,49,1,40900.0,4,1,1
133398180@n,111,1,24100.0,3,1,1
13352903@n,90,2,202400.0,3,2,4
133542523@n,106,1,24000.0,3,1,1
133558420@n,145,1,16900.0,3,1,1
13357861@n,207,1,35000.0,2,1,1
13373323@n,207,1,114000.0,2,1,3
13373748@n,72,1,110065.0,4,1,3
13382943@n,350,1,36900.0,1,1,1
13396262@n,101,1,47800.0,3,1,1
133993247@n,95,1,37900.0,3,1,1
134006420@n,69,1,112500.0,4,1,3
134064946@n,96,2,26300.0,3,2,1
134272839@n,15,1,33900.0,4,1,1
13428427@n,25,4,66304.0,4,3,2
13430127@n,336,1,38700.0,1,1,1
13446161@n,295,1,37793.0,1,1,1
134485321@n,70,1,36400.0,4,1,1
13471831@n,102,1,40793.0,3,1,1
13481039@n,246,1,35500.0,2,1,1
134816627@n,247,1,66600.0,2,1,2
134843809@n,185,1,40900.0,2,1,1
134885197@n,85,1,94000.0,4,1,2
134917272@n,62,1,32400.0,4,1,1
134954383@n,46,3,103400.0,4,3,3
135059895@n,107,1,23600.0,3,1,1
135067811@n,175,1,50700.0,3,1,1
13507560@n,280,1,13900.0,1,1,1
135121187@n,34,1,34400.0,4,1,1
135204579@n,112,1,23000.0,3,1,1
135232801@n,229,1,35500.0,2,1,1
135270031@n,175,1,64381.0,3,1,2
13528750@n,66,1,25300.0,4,1,1
13531558@n,66,1,23200.0,4,1,1
13532632@n,152,1,48800.0,3,1,1
135365436@n,134,1,31900.0,3,1,1
135459836@n,35,2,40700.0,4,2,1
135519178@n,139,2,76200.0,3,2,2
13554247@n,297,1,76000.0,1,1,2
135557535@n,123,2,179308.0,3,2,3
13570528@n,11,1,12900.0,4,1,1
135720938@n,301,1,38900.0,1,1,1
135788394@n,288,1,38700.0,1,1,1
135842414@n,115,1,23000.0,3,1,1
13586854@n,160,2,52300.0,3,2,1
135878494@n,203,1,35000.0,2,1,1
135910701@n,118,1,107600.0,3,1,3
135995245@n,74,3,72000.0,4,3,2
13600101@n,76,1,31730.0,4,1,1
136161768@n,14,1,37900.0,4,1,1
13616852@n,68,1,110065.0,4,1,3
13619121@n,282,1,114204.0,1,1,3
