date,member_id,R,F,M,r_grade,f_grade,m_grade,rfm_index,group
2023-03-01,102814364@n,144,1,15900.0,3,1,1,1.1070482354039841,new
2023-03-01,102831432@n,120,1,50600.0,3,1,1,1.1070482354039841,new
2023-03-01,10302390@n,126,1,65700.0,3,1,2,1.6431916835693634,new
2023-03-01,103095265@n,121,2,80700.0,3,2,2,2.053524117701992,new
2023-03-01,103127011@n,124,1,16900.0,3,1,1,1.1070482354039841,new
2023-03-01,103199338@n,216,1,103600.0,2,1,3,2.1258110140327506,esc-VIP
2023-03-01,103236345@n,92,1,13900.0,3,1,1,1.1070482354039841,new
2023-03-01,10323711@n,205,1,30400.0,2,1,1,1.053524117701992,esc
2023-03-01,103298102@n,180,1,50300.0,2,1,1,1.053524117701992,esc
2023-03-01,103376515@n,95,1,69875.0,3,1,2,1.6431916835693634,new
2023-03-01,10341732@n,141,1,40000.0,3,1,1,1.1070482354039841,new
2023-03-01,10348836@n,191,1,153000.0,2,1,3,2.1258110140327506,esc-VIP
2023-03-01,103841365@n,256,1,16900.0,2,1,1,1.053524117701992,esc
2023-03-01,10386109@n,206,2,68418.0,2,2,2,2.0,esc
2023-03-01,1038841@n,282,1,16293.0,1,1,1,1.0,esc
2023-03-01,10392780@n,264,1,30800.0,2,1,1,1.053524117701992,esc
2023-03-01,104003144@n,308,1,32063.0,1,1,1,1.0,esc
2023-03-01,104047598@n,205,2,78024.0,2,2,2,2.0,esc
2023-03-01,104050752@n,35,1,36900.0,4,1,1,1.1605723531059762,new
2023-03-01,104091087@n,285,1,35500.0,1,1,1,1.0,esc
2023-03-01,104166985@n,162,1,42300.0,3,1,1,1.1070482354039841,new
2023-03-01,10424512@n,170,1,29800.0,3,1,1,1.1070482354039841,new
2023-03-01,10425755@n,219,1,41800.0,2,1,1,1.053524117701992,esc
2023-03-01,104301039@n,72,1,81800.0,4,1,2,1.6967158012713555,new
2023-03-01,104359341@n,9,1,28800.0,4,1,1,1.1605723531059762,new
2023-03-01,104362025@n,76,1,40700.0,4,1,1,1.1605723531059762,new
2023-03-01,104388463@n,356,1,32760.0,1,1,1,1.0,esc
2023-03-01,10439316@n,250,1,26800.0,2,1,1,1.053524117701992,esc
2023-03-01,104399380@n,106,1,36900.0,3,1,1,1.1070482354039841,new
2023-03-01,10442784@n,127,2,85100.0,3,2,2,2.053524117701992,new
2023-03-01,104439612@n,75,1,65500.0,4,1,2,1.6967158012713555,new
2023-03-01,104470784@n,8,2,59320.0,4,2,2,2.107048235403984,new
2023-03-01,104507096@n,36,1,40400.0,4,1,1,1.1605723531059762,new
2023-03-01,104520735@n,209,1,34876.0,2,1,1,1.053524117701992,esc
2023-03-01,10453333@n,65,1,31700.0,4,1,1,1.1605723531059762,new
2023-03-01,10457767@n,354,1,31600.0,1,1,1,1.0,esc
2023-03-01,104668066@n,71,1,34000.0,4,1,1,1.1605723531059762,new
2023-03-01,10474157@n,162,2,57800.0,3,2,2,2.053524117701992,new
2023-03-01,10477850@n,68,2,45100.0,4,2,1,1.5709047872386046,new
2023-03-01,10480436@n,67,1,32400.0,4,1,1,1.1605723531059762,new
2023-03-01,10482953@n,180,1,40900.0,2,1,1,1.053524117701992,esc
2023-03-01,104994063@n,348,1,35793.0,1,1,1,1.0,esc
2023-03-01,105072970@n,327,1,38700.0,1,1,1,1.0,esc
2023-03-01,1051867554@g,5,1,37900.0,4,1,1,1.1605723531059762,new
2023-03-01,10527017@n,1,1,36900.0,4,1,1,1.1605723531059762,new
2023-03-01,10539413@n,332,1,22300.0,1,1,1,1.0,esc
2023-03-01,10558153@n,190,1,41000.0,2,1,1,1.053524117701992,esc
2023-03-01,10569049@n,166,1,12900.0,3,1,1,1.1070482354039841,new
2023-03-01,10580710@n,217,1,31400.0,2,1,1,1.053524117701992,esc
2023-03-01,10582416@n,91,1,82800.0,3,1,2,1.6431916835693634,new
2023-03-01,10598086@n,2,1,26405.0,4,1,1,1.1605723531059762,new
2023-03-01,106040033@n,126,1,54300.0,3,1,2,1.6431916835693634,new
2023-03-01,106114803@n,318,1,35500.0,1,1,1,1.0,esc
2023-03-01,106246875@n,35,1,158200.0,4,1,3,2.2328592494367347,semi-VIP
2023-03-01,10638839@n,127,1,49800.0,3,1,1,1.1070482354039841,new
2023-03-01,10640590@n,256,1,39569.0,2,1,1,1.053524117701992,esc
2023-03-01,106415689@n,91,1,49800.0,3,1,1,1.1070482354039841,new
2023-03-01,106465767@n,102,1,11900.0,3,1,1,1.1070482354039841,new
2023-03-01,106512559@n,137,1,40900.0,3,1,1,1.1070482354039841,new
2023-03-01,10661156@n,345,1,36500.0,1,1,1,1.0,esc
2023-03-01,106694931@n,70,1,33012.0,4,1,1,1.1605723531059762,new
2023-03-01,10671304@n,129,1,31900.0,3,1,1,1.1070482354039841,new
2023-03-01,10671536@n,207,1,35000.0,2,1,1,1.053524117701992,esc
2023-03-01,106755939@n,253,2,29800.0,2,2,1,1.463856551834621,esc
2023-03-01,106798313@n,354,1,35647.0,1,1,1,1.0,esc
2023-03-01,10722658@n,176,1,39400.0,3,1,1,1.1070482354039841,new
2023-03-01,10724107@n,217,1,16100.0,2,1,1,1.053524117701992,esc
2023-03-01,10724306@n,84,1,38800.0,4,1,1,1.1605723531059762,new
2023-03-01,107261002@n,267,1,35500.0,2,1,1,1.053524117701992,esc
2023-03-01,10732962@n,171,1,62600.0,3,1,2,1.6431916835693634,new
2023-03-01,1074305@n,73,2,48600.0,4,2,1,1.5709047872386046,new
2023-03-01,107454028@n,194,1,43610.0,2,1,1,1.053524117701992,esc
2023-03-01,107543838@n,91,2,64100.0,3,2,2,2.053524117701992,new
2023-03-01,10768980@n,194,1,17900.0,2,1,1,1.053524117701992,esc
2023-03-01,10786382@n,107,1,47600.0,3,1,1,1.1070482354039841,new
2023-03-01,10788213@n,44,1,102600.0,4,1,3,2.2328592494367347,semi-VIP
2023-03-01,108118968@n,203,2,49400.0,2,2,1,1.463856551834621,esc
2023-03-01,10814605@n,138,1,40780.0,3,1,1,1.1070482354039841,new
2023-03-01,10826489@n,251,1,41400.0,2,1,1,1.053524117701992,esc
2023-03-01,10827263@n,1,1,37000.0,4,1,1,1.1605723531059762,new
2023-03-01,108291950@n,64,2,149808.0,4,2,3,2.6431916835693636,semi-VIP
2023-03-01,108304649@n,173,1,30800.0,3,1,1,1.1070482354039841,new
2023-03-01,10832841@n,217,1,113993.0,2,1,3,2.1258110140327506,esc-VIP
2023-03-01,108342882@n,6,1,37900.0,4,1,1,1.1605723531059762,new
2023-03-01,10835930@n,179,1,38800.0,3,1,1,1.1070482354039841,new
2023-03-01,108418145@n,90,2,192691.0,3,2,3,2.5896675658673716,semi-VIP
2023-03-01,1085567@n,246,1,113500.0,2,1,3,2.1258110140327506,esc-VIP
2023-03-01,10856158@n,13,1,40900.0,4,1,1,1.1605723531059762,new
2023-03-01,108581747@n,91,1,29900.0,3,1,1,1.1070482354039841,new
2023-03-01,108599547@n,265,1,28700.0,2,1,1,1.053524117701992,esc
2023-03-01,1086136@n,79,1,87000.0,4,1,2,1.6967158012713555,new
2023-03-01,10872526@n,115,1,11700.0,3,1,1,1.1070482354039841,new
2023-03-01,108779015@n,216,1,56985.0,2,1,2,1.5896675658673716,esc
2023-03-01,10879592@n,334,1,33999.0,1,1,1,1.0,esc
2023-03-01,10887716@n,334,1,39125.0,1,1,1,1.0,esc
2023-03-01,108915001@n,58,1,95400.0,4,1,2,1.6967158012713555,new
2023-03-01,10893097@n,76,1,65800.0,4,1,2,1.6967158012713555,new
2023-03-01,109021891@n,260,1,38200.0,2,1,1,1.053524117701992,esc
2023-03-01,10912437@n,20,1,13900.0,4,1,1,1.1605723531059762,new
2023-03-01,109173297@n,211,1,36000.0,2,1,1,1.053524117701992,esc
2023-03-01,109293609@n,134,2,59600.0,3,2,2,2.053524117701992,new
2023-03-01,10931152@n,116,1,36000.0,3,1,1,1.1070482354039841,new
2023-03-01,109322683@n,56,1,38900.0,4,1,1,1.1605723531059762,new
2023-03-01,109328480@n,67,2,171979.0,4,2,3,2.6431916835693636,semi-VIP
2023-03-01,10940450@n,92,1,13900.0,3,1,1,1.1070482354039841,new
2023-03-01,109562494@n,207,1,12099.0,2,1,1,1.053524117701992,esc
2023-03-01,109597285@n,141,1,17900.0,3,1,1,1.1070482354039841,new
2023-03-01,10962397@n,9,2,78300.0,4,2,2,2.107048235403984,new
2023-03-01,109775882@n,41,1,36900.0,4,1,1,1.1605723531059762,new
2023-03-01,109821260@n,60,1,15500.0,4,1,1,1.1605723531059762,new
2023-03-01,10986075@n,296,1,47300.0,1,1,1,1.0,esc
2023-03-01,109881941@n,111,1,12700.0,3,1,1,1.1070482354039841,new
2023-03-01,109882957@n,110,1,36700.0,3,1,1,1.1070482354039841,new
2023-03-01,10989183@n,47,1,31800.0,4,1,1,1.1605723531059762,new
2023-03-01,10994947@n,14,1,36900.0,4,1,1,1.1605723531059762,new
2023-03-01,1100049927@g,63,1,65800.0,4,1,2,1.6967158012713555,new
2023-03-01,110021152@n,65,1,35700.0,4,1,1,1.1605723531059762,new
2023-03-01,110025838@n,18,1,22100.0,4,1,1,1.1605723531059762,new
2023-03-01,110073769@n,171,1,29800.0,3,1,1,1.1070482354039841,new
2023-03-01,110257048@n,226,1,68600.0,2,1,2,1.5896675658673716,esc
2023-03-01,11026447@n,74,1,53300.0,4,1,2,1.6967158012713555,new
2023-03-01,110269388@n,109,1,33900.0,3,1,1,1.1070482354039841,new
2023-03-01,110284475@n,8,1,49100.0,4,1,1,1.1605723531059762,new
2023-03-01,11030245@n,331,1,17400.0,1,1,1,1.0,esc
2023-03-01,11032535@n,331,1,40700.0,1,1,1,1.0,esc
2023-03-01,110408606@n,110,1,24000.0,3,1,1,1.1070482354039841,new
2023-03-01,11042265@n,26,2,79633.0,4,2,2,2.107048235403984,new
2023-03-01,1104331@n,75,1,65800.0,4,1,2,1.6967158012713555,new
2023-03-01,110583373@n,88,1,16900.0,4,1,1,1.1605723531059762,new
2023-03-01,11064764@n,319,1,38900.0,1,1,1,1.0,esc
2023-03-01,110771920@n,9,3,119973.0,4,3,3,3.053524117701992,VIP
2023-03-01,110787547@n,227,1,35600.0,2,1,1,1.053524117701992,esc
2023-03-01,11083633@n,277,1,40700.0,1,1,1,1.0,esc
2023-03-01,110898523@n,59,1,31400.0,4,1,1,1.1605723531059762,new
2023-03-01,11102967@n,70,1,31700.0,4,1,1,1.1605723531059762,new
2023-03-01,11110783@n,71,1,31400.0,4,1,1,1.1605723531059762,new
2023-03-01,11115826@n,62,1,31300.0,4,1,1,1.1605723531059762,new
2023-03-01,111181951@n,90,1,39400.0,3,1,1,1.1070482354039841,new
2023-03-01,111216573@n,269,1,38800.0,2,1,1,1.053524117701992,esc
2023-03-01,111229290@n,104,3,70500.0,3,3,2,2.463856551834621,ROYAL
2023-03-01,11126263@n,199,1,45900.0,2,1,1,1.053524117701992,esc
2023-03-01,111286578@n,241,1,33200.0,2,1,1,1.053524117701992,esc
2023-03-01,11131171@n,229,1,15400.0,2,1,1,1.053524117701992,esc
2023-03-01,111313141@n,85,1,31800.0,4,1,1,1.1605723531059762,new
2023-03-01,111353133@n,117,2,65000.0,3,2,2,2.053524117701992,new
2023-03-01,11136913@n,67,1,41568.0,4,1,1,1.1605723531059762,new
2023-03-01,11146372@n,355,1,110455.0,1,1,3,2.072286896330759,esc-VIP
2023-03-01,11149078@n,247,1,38700.0,2,1,1,1.053524117701992,esc
2023-03-01,11150720@n,58,1,32300.0,4,1,1,1.1605723531059762,new
2023-03-01,111569684@n,53,1,15900.0,4,1,1,1.1605723531059762,new
2023-03-01,111579067@n,4,2,37929.0,4,2,1,1.5709047872386046,new
2023-03-01,11162567@n,103,1,12900.0,3,1,1,1.1070482354039841,new
2023-03-01,111676180@n,266,1,15400.0,2,1,1,1.053524117701992,esc
2023-03-01,111690753@n,315,1,36900.0,1,1,1,1.0,esc
2023-03-01,11170739@n,216,1,33200.0,2,1,1,1.053524117701992,esc
2023-03-01,111717529@n,172,1,38800.0,3,1,1,1.1070482354039841,new
2023-03-01,111797576@n,46,1,9900.0,4,1,1,1.1605723531059762,new
2023-03-01,111807439@n,127,1,42800.0,3,1,1,1.1070482354039841,new
2023-03-01,11181804@n,68,1,32400.0,4,1,1,1.1605723531059762,new
2023-03-01,111911542@n,93,1,41900.0,3,1,1,1.1070482354039841,new
2023-03-01,11199275@n,186,1,40000.0,2,1,1,1.053524117701992,esc
2023-03-01,112018990@n,204,1,15200.0,2,1,1,1.053524117701992,esc
2023-03-01,11202080@n,328,1,29800.0,1,1,1,1.0,esc
2023-03-01,11203673@n,35,1,33900.0,4,1,1,1.1605723531059762,new
2023-03-01,112075833@n,128,1,40900.0,3,1,1,1.1070482354039841,new
2023-03-01,11212291@n,229,2,48300.0,2,2,1,1.463856551834621,esc
2023-03-01,112145980@n,223,1,38700.0,2,1,1,1.053524117701992,esc
2023-03-01,11233680@n,60,1,32400.0,4,1,1,1.1605723531059762,new
2023-03-01,112407895@n,201,1,14500.0,2,1,1,1.053524117701992,esc
2023-03-01,112415436@n,139,1,30800.0,3,1,1,1.1070482354039841,new
2023-03-01,112435810@n,61,1,32400.0,4,1,1,1.1605723531059762,new
2023-03-01,11247825@n,33,1,14900.0,4,1,1,1.1605723531059762,new
2023-03-01,112555290@n,0,2,75439.0,4,2,2,2.107048235403984,new
2023-03-01,112603393@n,216,1,33400.0,2,1,1,1.053524117701992,esc
2023-03-01,11260595@n,123,1,103000.0,3,1,3,2.1793351317347427,semi-VIP
2023-03-01,112633192@n,121,1,147000.0,3,1,3,2.1793351317347427,semi-VIP
2023-03-01,11269919@n,224,1,15400.0,2,1,1,1.053524117701992,esc
2023-03-01,11277338@n,152,1,41000.0,3,1,1,1.1070482354039841,new
2023-03-01,112799188@n,343,1,13500.0,1,1,1,1.0,esc
2023-03-01,112804268@n,20,1,19100.0,4,1,1,1.1605723531059762,new
2023-03-01,11285800@n,190,1,40715.0,2,1,1,1.053524117701992,esc
2023-03-01,1128604@n,27,1,21300.0,4,1,1,1.1605723531059762,new
2023-03-01,113105278@n,114,1,23000.0,3,1,1,1.1070482354039841,new
2023-03-01,113207167@n,172,1,28900.0,3,1,1,1.1070482354039841,new
2023-03-01,11328165@n,52,1,58200.0,4,1,2,1.6967158012713555,new
2023-03-01,113384592@n,49,1,60800.0,4,1,2,1.6967158012713555,new
2023-03-01,113428890@n,69,1,35400.0,4,1,1,1.1605723531059762,new
2023-03-01,11347023@n,99,1,13900.0,3,1,1,1.1070482354039841,new
2023-03-01,113540362@n,150,1,16900.0,3,1,1,1.1070482354039841,new
2023-03-01,113641524@n,1,3,128000.0,4,3,3,3.053524117701992,VIP
2023-03-01,113725992@n,59,1,32400.0,4,1,1,1.1605723531059762,new
2023-03-01,11373862@n,52,1,37800.0,4,1,1,1.1605723531059762,new
2023-03-01,113745432@n,184,1,78800.0,2,1,2,1.5896675658673716,esc
2023-03-01,113792127@n,232,1,32800.0,2,1,1,1.053524117701992,esc
2023-03-01,113812339@n,44,1,48700.0,4,1,1,1.1605723531059762,new
2023-03-01,11400382@n,76,1,30300.0,4,1,1,1.1605723531059762,new
2023-03-01,114054137@n,75,1,33400.0,4,1,1,1.1605723531059762,new
2023-03-01,114177924@n,95,4,122670.0,3,3,3,3.0,VIP
2023-03-01,11419434@n,82,2,67700.0,4,2,2,2.107048235403984,new
2023-03-01,114213160@n,126,1,68800.0,3,1,2,1.6431916835693634,new
2023-03-01,11422393@n,50,1,38900.0,4,1,1,1.1605723531059762,new
2023-03-01,114227439@n,202,1,38800.0,2,1,1,1.053524117701992,esc
2023-03-01,114280276@n,56,1,17900.0,4,1,1,1.1605723531059762,new
2023-03-01,11439082@n,139,1,16900.0,3,1,1,1.1070482354039841,new
2023-03-01,114421553@n,59,1,32400.0,4,1,1,1.1605723531059762,new
2023-03-01,114422750@n,100,1,28500.0,3,1,1,1.1070482354039841,new
2023-03-01,11450547@n,339,1,40700.0,1,1,1,1.0,esc
2023-03-01,114614855@n,290,1,15400.0,1,1,1,1.0,esc
2023-03-01,114628746@n,71,1,32400.0,4,1,1,1.1605723531059762,new
2023-03-01,114681825@n,195,1,16900.0,2,1,1,1.053524117701992,esc
2023-03-01,11472360@n,103,1,149000.0,3,1,3,2.1793351317347427,semi-VIP
2023-03-01,114826922@n,72,1,35400.0,4,1,1,1.1605723531059762,new
2023-03-01,11490034@n,245,1,38700.0,2,1,1,1.053524117701992,esc
2023-03-01,114915627@n,105,1,23000.0,3,1,1,1.1070482354039841,new
2023-03-01,11494831@n,11,1,40900.0,4,1,1,1.1605723531059762,new
2023-03-01,114986258@n,5,1,38900.0,4,1,1,1.1605723531059762,new
2023-03-01,115096374@n,230,1,18800.0,2,1,1,1.053524117701992,esc
2023-03-01,115109105@n,49,1,67300.0,4,1,2,1.6967158012713555,new
2023-03-01,115131834@n,1,1,36000.0,4,1,1,1.1605723531059762,new
2023-03-01,115258094@n,76,3,117400.0,4,3,3,3.053524117701992,VIP
2023-03-01,11533530@n,196,1,40622.0,2,1,1,1.053524117701992,esc
2023-03-01,115357830@n,78,3,110709.0,4,3,3,3.053524117701992,VIP
2023-03-01,115405625@n,59,1,49400.0,4,1,1,1.1605723531059762,new
2023-03-01,115441330@n,138,1,16900.0,3,1,1,1.1070482354039841,new
2023-03-01,11548134@n,120,1,31900.0,3,1,1,1.1070482354039841,new
2023-03-01,11550150@n,115,2,90300.0,3,2,2,2.053524117701992,new
2023-03-01,115539670@n,34,1,13900.0,4,1,1,1.1605723531059762,new
2023-03-01,115554040@n,97,1,55700.0,3,1,2,1.6431916835693634,new
2023-03-01,115577465@n,115,1,35300.0,3,1,1,1.1070482354039841,new
2023-03-01,115644916@n,145,1,79800.0,3,1,2,1.6431916835693634,new
2023-03-01,11576582@n,103,1,38800.0,3,1,1,1.1070482354039841,new
2023-03-01,115880298@n,69,1,15500.0,4,1,1,1.1605723531059762,new
2023-03-01,11594112@n,35,1,38800.0,4,1,1,1.1605723531059762,new
2023-03-01,115983687@n,76,1,32400.0,4,1,1,1.1605723531059762,new
2023-03-01,115996385@n,27,1,62600.0,4,1,2,1.6967158012713555,new
2023-03-01,116031755@n,265,1,38268.0,2,1,1,1.053524117701992,esc
2023-03-01,116084616@n,272,1,38800.0,2,1,1,1.053524117701992,esc
2023-03-01,116089195@n,76,1,32400.0,4,1,1,1.1605723531059762,new
2023-03-01,11613249@n,78,2,71699.0,4,2,2,2.107048235403984,new
2023-03-01,116166911@n,36,1,9900.0,4,1,1,1.1605723531059762,new
2023-03-01,116188490@n,111,1,11700.0,3,1,1,1.1070482354039841,new
2023-03-01,116211850@n,71,1,23300.0,4,1,1,1.1605723531059762,new
2023-03-01,11621575@n,218,1,38700.0,2,1,1,1.053524117701992,esc
2023-03-01,11630212@n,8,1,11900.0,4,1,1,1.1605723531059762,new
2023-03-01,11630224@n,4,1,36900.0,4,1,1,1.1605723531059762,new
2023-03-01,116302470@n,98,1,38900.0,3,1,1,1.1070482354039841,new
2023-03-01,11631865@n,162,1,39500.0,3,1,1,1.1070482354039841,new
2023-03-01,11634872@n,73,1,33400.0,4,1,1,1.1605723531059762,new
2023-03-01,116387459@n,304,1,36900.0,1,1,1,1.0,esc
2023-03-01,116393756@n,324,1,113500.0,1,1,3,2.072286896330759,esc-VIP
2023-03-01,11645847@n,70,1,31520.0,4,1,1,1.1605723531059762,new
2023-03-01,116503578@n,288,1,38700.0,1,1,1,1.0,esc
2023-03-01,116520103@n,75,2,67171.0,4,2,2,2.107048235403984,new
2023-03-01,11653388@n,303,1,37363.0,1,1,1,1.0,esc
2023-03-01,116560396@n,7,1,37900.0,4,1,1,1.1605723531059762,new
2023-03-01,116584243@n,244,1,47900.0,2,1,1,1.053524117701992,esc
2023-03-01,11666974@n,169,1,60600.0,3,1,2,1.6431916835693634,new
2023-03-01,116774399@n,20,1,39900.0,4,1,1,1.1605723531059762,new
2023-03-01,116794113@n,229,3,46544.0,2,3,1,1.8741889859672494,esc
2023-03-01,11680220@n,78,2,80253.0,4,2,2,2.107048235403984,new
2023-03-01,11683024@n,360,1,15900.0,1,1,1,1.0,esc
2023-03-01,116928624@n,206,1,113002.0,2,1,3,2.1258110140327506,esc-VIP
2023-03-01,11697571@n,206,1,35000.0,2,1,1,1.053524117701992,esc
2023-03-01,117003480@n,335,1,40000.0,1,1,1,1.0,esc
2023-03-01,11702166@n,34,1,54200.0,4,1,2,1.6967158012713555,new
2023-03-01,117060571@n,79,5,157144.0,4,4,3,3.463856551834621,VIP
2023-03-01,117065969@n,55,1,143500.0,4,1,3,2.2328592494367347,semi-VIP
2023-03-01,11712616@n,82,1,31300.0,4,1,1,1.1605723531059762,new
2023-03-01,117139043@n,169,1,13900.0,3,1,1,1.1070482354039841,new
2023-03-01,117160900@n,196,2,46300.0,2,2,1,1.463856551834621,esc
2023-03-01,117191273@n,2,1,28300.0,4,1,1,1.1605723531059762,new
2023-03-01,11720403@n,114,1,49800.0,3,1,1,1.1070482354039841,new
2023-03-01,117315275@n,234,2,62654.0,2,2,2,2.0,esc
2023-03-01,117320027@n,127,2,33300.0,3,2,1,1.5173806695366128,new
2023-03-01,11732536@n,203,1,53400.0,2,1,2,1.5896675658673716,esc
2023-03-01,11733115@n,141,2,31800.0,3,2,1,1.5173806695366128,new
2023-03-01,11744644@n,216,1,34200.0,2,1,1,1.053524117701992,esc
2023-03-01,11749639@n,115,2,181150.0,3,2,3,2.5896675658673716,semi-VIP
2023-03-01,11751797@n,20,1,10900.0,4,1,1,1.1605723531059762,new
2023-03-01,11754536@n,27,1,45800.0,4,1,1,1.1605723531059762,new
2023-03-01,11763063@n,85,1,40900.0,4,1,1,1.1605723531059762,new
2023-03-01,11771663@n,219,1,38700.0,2,1,1,1.053524117701992,esc
2023-03-01,117735562@n,2,1,24900.0,4,1,1,1.1605723531059762,new
2023-03-01,11776555@n,216,1,73800.0,2,1,2,1.5896675658673716,esc
